project,month,status,active_devs,num_commits,num_committers,num_files,num_emails,num_senders,num_respondents,skew_c,skew_e,c_percentage,e_percentage,inactive_c,inactive_e,c_nodes,c_edges,c_c_coef,c_mean_degree,c_long_tail,c_triangles,e_nodes,e_edges,e_c_coef,e_mean_degree,e_long_tail,e_triangles,e_bidirected_edges
112,6,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,7,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,9,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,10,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,Graduated,78,495,4,450,391,74,77,3.26522509067788,0.589693335832629,0.9090909090909091,0.6086956521739131,0.3103448275862069,0.034482758620689655,4,5,0.8333333333333333,2.5,2,2.0,77,157,0.3134808235648572,4.077922077922078,5,102.0,175
113,2,Graduated,60,69,7,28,265,53,52,-0.6577905343945225,0.030206570008662902,0.4057971014492754,0.49056603773584906,0.5555555555555556,0.10714285714285714,6,7,0.6111111111111112,2.3333333333333335,5,2.0,53,122,0.28348446103163083,4.60377358490566,10,82.0,145
113,3,Graduated,66,3684,17,1393,387,49,52,1.0919481444368067,0.25971464912116266,0.6799674267100977,0.43410852713178294,0.17391304347826086,0.10714285714285714,15,41,0.6748595848595849,5.466666666666667,9,50.0,54,130,0.2665330826278539,4.814814814814815,16,115.0,181
113,4,Graduated,76,1912,24,973,349,52,52,-0.36582669276725593,0.05177841578718215,0.6302301255230126,0.49570200573065903,0.1724137931034483,0.06896551724137931,23,75,0.7831214492272508,6.521739130434782,9,113.0,54,102,0.2933488322377211,3.7777777777777777,9,42.0,138
113,5,Graduated,63,1957,21,819,320,42,38,0.38621245710105834,-0.17220722949574513,0.5053653551354114,0.4375,0.13793103448275862,0.0,18,47,0.5994240327573661,5.222222222222222,8,52.0,42,102,0.25846470678403455,4.857142857142857,13,57.0,134
113,6,Graduated,66,5461,25,3200,276,41,40,-0.8545296445182202,-0.16881136165589497,0.6632484892876762,0.4311594202898551,0.10714285714285714,0.10714285714285714,22,80,0.7439372960904062,7.2727272727272725,12,168.0,42,92,0.2318040425183282,4.380952380952381,13,45.0,115
113,7,Graduated,89,5914,33,3395,430,56,58,0.9853113786004843,-0.0037283558346640202,0.6876902265809942,0.42790697674418604,0.10714285714285714,0.03571428571428571,31,152,0.7965165290196797,9.806451612903226,17,472.0,60,132,0.18514513264513263,4.4,14,70.0,174
